id,tier,category,question,eval_mode,passed,exec_success,blocked,error,predicted_sql,gold_sql,retries,latency_s,actual_rows,expected_rows,failure_reason
B01,B,join,"Show the top 5 customers by total spending, with their full name and email.",row_count,True,True,False,,"SELECT C.CustomerId, C.FirstName, C.LastName, C.Email, SUM(I.Total) AS TotalSpending
FROM Customer C
JOIN Invoice I ON C.CustomerId = I.CustomerId
GROUP BY C.CustomerId, C.FirstName, C.LastName, C.Email
ORDER BY TotalSpending DESC
LIMIT 5;","SELECT c.FirstName, c.LastName, c.Email, SUM(i.Total) AS TotalSpent FROM Customer c JOIN Invoice i ON c.CustomerId = i.CustomerId GROUP BY c.CustomerId ORDER BY TotalSpent DESC LIMIT 5;",0,2.85,5,5,
B02,B,join,"List all tracks by AC/DC, showing the album title and track name.",exec_match,True,True,False,,"SELECT T2.Name AS TrackName, T3.Title AS AlbumTitle FROM Artist AS T1 INNER JOIN Album AS T3 ON T1.ArtistId = T3.ArtistId INNER JOIN Track AS T2 ON T3.AlbumId = T2.AlbumId WHERE T1.Name = 'AC/DC'","SELECT t.Name AS TrackName, al.Title AS AlbumTitle FROM Track t JOIN Album al ON t.AlbumId = al.AlbumId JOIN Artist ar ON al.ArtistId = ar.ArtistId WHERE ar.Name = 'AC/DC';",0,2.64,18,,
B03,B,join,"For each genre, how many tracks are there? Show genre name and count, sorted by count descending.",exec_match,True,True,False,,"SELECT T1.Name AS GenreName, COUNT(T2.TrackId) AS TrackCount FROM GENRE AS T1 INNER JOIN TRACK AS T2 ON T1.GenreId = T2.GenreId GROUP BY T1.Name ORDER BY TrackCount DESC;","SELECT g.Name, COUNT(*) AS TrackCount FROM Track t JOIN Genre g ON t.GenreId = g.GenreId GROUP BY g.GenreId ORDER BY TrackCount DESC;",0,2.286,25,,
B04,B,join,Which album has the most tracks? Show the album title and track count.,exec_match,True,True,False,,"SELECT T2.Title, COUNT(*) AS track_count
FROM Track AS T1
JOIN Album AS T2 ON T1.AlbumId = T2.AlbumId
GROUP BY T2.AlbumId
ORDER BY track_count DESC
LIMIT 1;","SELECT al.Title, COUNT(*) AS TrackCount FROM Track t JOIN Album al ON t.AlbumId = al.AlbumId GROUP BY al.AlbumId ORDER BY TrackCount DESC LIMIT 1;",0,2.412,1,,
B05,B,join,List all customers and the name of their support representative.,exec_match,False,True,False,,"SELECT c.CustomerId, c.FirstName, c.LastName, e.FirstName AS SupportRepFirstName, e.LastName AS SupportRepLastName FROM Customer c JOIN Employee e ON c.SupportRepId = e.EmployeeId;","SELECT c.FirstName || ' ' || c.LastName AS Customer, e.FirstName || ' ' || e.LastName AS SupportRep FROM Customer c JOIN Employee e ON c.SupportRepId = e.EmployeeId;",0,2.279,59,,value_mismatch
B06,B,join,How many customers does each support representative handle? Show employee name and customer count.,exec_match,False,True,False,,"SELECT e.FirstName, e.LastName, COUNT(c.CustomerId) AS CustomerCount FROM Employee e LEFT JOIN Customer c ON e.EmployeeId = c.SupportRepId GROUP BY e.EmployeeId ORDER BY CustomerCount DESC;","SELECT e.FirstName || ' ' || e.LastName AS RepName, COUNT(*) AS CustomerCount FROM Customer c JOIN Employee e ON c.SupportRepId = e.EmployeeId GROUP BY e.EmployeeId ORDER BY CustomerCount DESC;",0,1.975,8,,row_count_8_vs_3
B07,B,join,"What is the average invoice total per country? Show country and average, ordered by average descending.",exec_match_rounded,True,True,False,,"SELECT BillingCountry, AVG(Total) AS avg_total FROM Invoice GROUP BY BillingCountry ORDER BY avg_total DESC;","SELECT BillingCountry, ROUND(AVG(Total), 2) AS AvgTotal FROM Invoice GROUP BY BillingCountry ORDER BY AvgTotal DESC;",0,1.895,24,,
B08,B,having,Which genres have more than 100 tracks?,exec_match,False,True,False,,SELECT T2.Name FROM Track AS T1 INNER JOIN Genre AS T2 ON T1.GenreId = T2.GenreId GROUP BY T2.Name HAVING COUNT(T1.TrackId) > 100,"SELECT g.Name, COUNT(*) AS TrackCount FROM Track t JOIN Genre g ON t.GenreId = g.GenreId GROUP BY g.GenreId HAVING TrackCount > 100 ORDER BY TrackCount DESC;",0,2.171,5,,value_mismatch
B09,B,having,Which customers have spent more than $40 in total? Show name and total.,exec_match_rounded,False,True,False,,"SELECT c.CustomerId, c.FirstName, c.LastName, SUM(il.UnitPrice * il.Quantity) AS TotalSpent
FROM Customer c
JOIN Invoice i ON c.CustomerId = i.CustomerId
JOIN InvoiceLine il ON i.InvoiceId = il.InvoiceId
GROUP BY c.CustomerId
HAVING TotalSpent > 40;","SELECT c.FirstName, c.LastName, ROUND(SUM(i.Total), 2) AS TotalSpent FROM Customer c JOIN Invoice i ON c.CustomerId = i.CustomerId GROUP BY c.CustomerId HAVING TotalSpent > 40 ORDER BY TotalSpent DESC;",0,3.077,14,,value_mismatch
B10,B,date,How many invoices were created in 2009?,exec_match,True,True,False,,"SELECT COUNT(InvoiceId) AS invoice_count FROM Invoice WHERE STRFTIME('%Y', InvoiceDate) = '2009';","SELECT COUNT(*) AS cnt FROM Invoice WHERE strftime('%Y', InvoiceDate) = '2009';",0,1.716,1,,
B11,B,date,"Show all invoices from 2013, ordered by invoice date.",exec_match,False,True,False,,"SELECT InvoiceId, CustomerId, InvoiceDate, BillingAddress, BillingCity, BillingState, BillingCountry, BillingPostalCode, Total 
FROM Invoice 
WHERE STRFTIME('%Y', InvoiceDate) = '2013' 
ORDER BY InvoiceDate;","SELECT InvoiceId, InvoiceDate, Total FROM Invoice WHERE InvoiceDate LIKE '2013%' ORDER BY InvoiceDate;",0,2.449,80,,value_mismatch
B12,B,date,"What is the total revenue per year? Show year and total, ordered by year.",exec_match_rounded,True,True,False,,"SELECT STRFTIME('%Y', InvoiceDate) AS Year, SUM(Total) AS Total_Revenue
FROM Invoice
GROUP BY Year
ORDER BY Year;","SELECT strftime('%Y', InvoiceDate) AS Year, ROUND(SUM(Total), 2) AS Revenue FROM Invoice GROUP BY Year ORDER BY Year;",0,1.993,5,,
B13,B,join,Show the 10 best-selling tracks by quantity sold. Include track name and total quantity.,row_count,True,True,False,,"SELECT T.Name, SUM(Quantity) AS total_quantity_sold
FROM Track AS T
JOIN InvoiceLine AS IL ON T.TrackId = IL.TrackId
GROUP BY T.TrackId
ORDER BY total_quantity_sold DESC
LIMIT 10;","SELECT t.Name, SUM(il.Quantity) AS TotalQty FROM InvoiceLine il JOIN Track t ON il.TrackId = t.TrackId GROUP BY t.TrackId ORDER BY TotalQty DESC LIMIT 10;",0,2.324,10,10,
B14,B,join,List all customers from Brazil along with the name of their support representative.,exec_match,False,True,False,,"SELECT C.CustomerId, C.FirstName, C.LastName, E.FirstName AS SupportRepFirstName, E.LastName AS SupportRepLastName FROM Customer C JOIN Employee E ON C.SupportRepId = E.EmployeeId WHERE C.Country = 'Brazil';","SELECT c.FirstName || ' ' || c.LastName AS Customer, e.FirstName || ' ' || e.LastName AS SupportRep FROM Customer c JOIN Employee e ON c.SupportRepId = e.EmployeeId WHERE c.Country = 'Brazil';",0,2.419,5,,value_mismatch
B15,B,join,Which artist has the most albums? Show artist name and album count.,exec_match,True,True,False,,"SELECT Artist.Name, COUNT(Album.AlbumId) AS album_count FROM Artist JOIN Album ON Artist.ArtistId = Album.ArtistId GROUP BY Artist.ArtistId ORDER BY album_count DESC LIMIT 1;","SELECT ar.Name, COUNT(*) AS AlbumCount FROM Album al JOIN Artist ar ON al.ArtistId = ar.ArtistId GROUP BY ar.ArtistId ORDER BY AlbumCount DESC LIMIT 1;",0,2.128,1,,
B16,B,filter,Find all tracks whose name contains the word 'love' (case-insensitive).,exec_match,False,True,False,,"SELECT TrackId, Name FROM Track WHERE LOWER(Name) LIKE '%love%'",SELECT Name FROM Track WHERE LOWER(Name) LIKE '%love%';,0,1.561,114,,row_count_114_vs_104
B17,B,filter,List all customers whose email ends with '.com'.,exec_match,False,True,False,,"SELECT CustomerId, FirstName, LastName, Email FROM CUSTOMER WHERE Email LIKE '%.com'","SELECT FirstName, LastName, Email FROM Customer WHERE Email LIKE '%.com';",0,1.801,22,,value_mismatch
B18,B,join,Which employee has generated the most revenue through their customers? Show name and total revenue.,exec_match_rounded,False,True,False,,"SELECT e.FirstName, e.LastName, SUM(i.Total) AS TotalRevenue
FROM Employee e
JOIN Customer c ON e.EmployeeId = c.SupportRepId
JOIN Invoice i ON c.CustomerId = i.CustomerId
GROUP BY e.EmployeeId
ORDER BY TotalRevenue DESC
LIMIT 1;","SELECT e.FirstName || ' ' || e.LastName AS Employee, ROUND(SUM(i.Total), 2) AS Revenue FROM Employee e JOIN Customer c ON e.EmployeeId = c.SupportRepId JOIN Invoice i ON c.CustomerId = i.CustomerId GROUP BY e.EmployeeId ORDER BY Revenue DESC LIMIT 1;",0,2.645,1,,value_mismatch
B19,B,filter,Find customers whose postal code starts with '1'.,exec_match,False,True,False,,"SELECT CustomerId, FirstName, LastName, PostalCode FROM Customer WHERE PostalCode LIKE '1%'","SELECT FirstName, LastName, PostalCode FROM Customer WHERE PostalCode LIKE '1%';",0,1.655,13,,value_mismatch
B20,B,join,Show total spending per customer in Canada. Include customer name and total.,exec_match_rounded,False,True,False,,"SELECT c.CustomerId, c.FirstName, c.LastName, SUM(il.UnitPrice * il.Quantity) AS TotalSpending
FROM Customer c
JOIN Invoice i ON c.CustomerId = i.CustomerId
JOIN InvoiceLine il ON i.InvoiceId = il.InvoiceId
WHERE c.Country = 'Canada'
GROUP BY c.CustomerId, c.FirstName, c.LastName;","SELECT c.FirstName, c.LastName, ROUND(SUM(i.Total), 2) AS TotalSpent FROM Customer c JOIN Invoice i ON c.CustomerId = i.CustomerId WHERE c.Country = 'Canada' GROUP BY c.CustomerId ORDER BY TotalSpent DESC;",0,3.1,8,,value_mismatch
B21,B,having,Which countries have more than 5 customers?,exec_match,False,True,False,,SELECT Country FROM CUSTOMER GROUP BY Country HAVING COUNT(CustomerId) > 5;,"SELECT Country, COUNT(*) AS cnt FROM Customer GROUP BY Country HAVING cnt > 5 ORDER BY cnt DESC;",0,1.619,2,,value_mismatch
B22,B,join,"List all albums by the artist 'Iron Maiden', showing album title.",exec_match,True,True,False,,SELECT T1.Title FROM Album AS T1 INNER JOIN Artist AS T2 ON T1.ArtistId = T2.ArtistId WHERE T2.Name = 'Iron Maiden',SELECT al.Title FROM Album al JOIN Artist ar ON al.ArtistId = ar.ArtistId WHERE ar.Name = 'Iron Maiden';,0,1.961,21,,
B23,B,join,How many distinct artists have tracks in the 'Rock' genre?,exec_match,True,True,False,,SELECT COUNT(DISTINCT T3.ArtistId) AS artist_count FROM Genre AS T1 INNER JOIN Track AS T2 ON T1.GenreId = T2.GenreId INNER JOIN Album AS T3 ON T2.AlbumId = T3.AlbumId WHERE T1.Name = 'Rock',SELECT COUNT(DISTINCT ar.ArtistId) AS cnt FROM Track t JOIN Genre g ON t.GenreId = g.GenreId JOIN Album al ON t.AlbumId = al.AlbumId JOIN Artist ar ON al.ArtistId = ar.ArtistId WHERE g.Name = 'Rock';,0,2.521,1,,
B24,B,join,Show the total number of tracks sold per genre. Include genre name and quantity.,exec_match,True,True,False,,"SELECT G.Name AS GenreName, COUNT(T1.TrackId) AS track_count FROM InvoiceLine AS T1 INNER JOIN Track AS T2 ON T1.TrackId = T2.TrackId INNER JOIN Genre AS G ON T2.GenreId = G.GenreId GROUP BY G.Name;","SELECT g.Name, SUM(il.Quantity) AS TotalSold FROM InvoiceLine il JOIN Track t ON il.TrackId = t.TrackId JOIN Genre g ON t.GenreId = g.GenreId GROUP BY g.GenreId ORDER BY TotalSold DESC;",1,4.065,24,,
B25,B,date,How many invoices were created in each month of 2010? Show month and count.,exec_match,False,True,False,,"SELECT STRFTIME('%Y-%m', InvoiceDate) AS month, COUNT(*) AS invoice_count FROM Invoice WHERE STRFTIME('%Y', InvoiceDate) = '2010' GROUP BY month ORDER BY month;","SELECT strftime('%m', InvoiceDate) AS Month, COUNT(*) AS cnt FROM Invoice WHERE strftime('%Y', InvoiceDate) = '2010' GROUP BY Month ORDER BY Month;",0,2.388,12,,value_mismatch
B26,B,join,List all tracks on the playlist named 'Music'.,exec_match,True,True,False,,SELECT T.Name FROM Track AS T JOIN PlaylistTrack AS PT ON T.TrackId = PT.TrackId JOIN Playlist AS P ON PT.PlaylistId = P.PlaylistId WHERE P.Name = 'Music' ORDER BY T.Name;,SELECT t.Name FROM PlaylistTrack pt JOIN Track t ON pt.TrackId = t.TrackId JOIN Playlist p ON pt.PlaylistId = p.PlaylistId WHERE p.Name = 'Music';,0,2.223,6580,,
B27,B,having,Which artists have more than 20 tracks across all their albums?,exec_match,False,True,False,,"SELECT A.ArtistId, A.Name
FROM Artist AS A
JOIN Album AS B ON A.ArtistId = B.ArtistId
JOIN Track AS T ON B.AlbumId = T.AlbumId
GROUP BY A.ArtistId, A.Name
HAVING COUNT(T.TrackId) > 20;","SELECT ar.Name, COUNT(*) AS TrackCount FROM Track t JOIN Album al ON t.AlbumId = al.AlbumId JOIN Artist ar ON al.ArtistId = ar.ArtistId GROUP BY ar.ArtistId HAVING TrackCount > 20 ORDER BY TrackCount DESC;",0,2.659,52,,value_mismatch
B28,B,join,Show the total revenue generated by each billing country. Order by revenue descending.,exec_match_rounded,True,True,False,,"SELECT BillingCountry, SUM(Total) AS total_revenue FROM INVOICE GROUP BY BillingCountry ORDER BY total_revenue DESC","SELECT BillingCountry, ROUND(SUM(Total), 2) AS Revenue FROM Invoice GROUP BY BillingCountry ORDER BY Revenue DESC;",0,1.954,24,,
B29,B,filter,Find all tracks with a unit price greater than $0.99.,exec_match,False,True,False,,"SELECT TrackId, Name FROM Track WHERE UnitPrice > 0.99;","SELECT Name, UnitPrice FROM Track WHERE UnitPrice > 0.99;",0,1.669,213,,row_count_213_vs_208
B30,B,join,How many playlists does each track appear in? Show the top 10 tracks by playlist count.,row_count,True,True,False,,"SELECT T2.Name, COUNT(T1.PlaylistId) AS PlaylistCount FROM PlaylistTrack AS T1 INNER JOIN Track AS T2 ON T1.TrackId = T2.TrackId GROUP BY T1.TrackId ORDER BY PlaylistCount DESC LIMIT 10;","SELECT t.Name, COUNT(*) AS PlaylistCount FROM PlaylistTrack pt JOIN Track t ON pt.TrackId = t.TrackId GROUP BY pt.TrackId ORDER BY PlaylistCount DESC LIMIT 10;",0,2.355,10,10,
B31,B,join,Who manages employee Steve Johnson? Show the manager's full name.,exec_match,False,True,False,,"SELECT e.FirstName, e.LastName FROM Employee e JOIN Employee m ON e.ReportsTo = m.EmployeeId WHERE e.FirstName = 'Steve' AND e.LastName = 'Johnson';",SELECT m.FirstName || ' ' || m.LastName AS Manager FROM Employee e JOIN Employee m ON e.ReportsTo = m.EmployeeId WHERE e.FirstName = 'Steve' AND e.LastName = 'Johnson';,0,2.144,1,,value_mismatch
B32,B,join,Show all albums that contain tracks in the 'Jazz' genre.,exec_match,True,True,False,,SELECT DISTINCT T1.Title FROM Album AS T1 INNER JOIN Track AS T2 ON T1.AlbumId = T2.AlbumId INNER JOIN Genre AS T3 ON T2.GenreId = T3.GenreId WHERE T3.Name = 'Jazz',SELECT DISTINCT al.Title FROM Album al JOIN Track t ON al.AlbumId = t.AlbumId JOIN Genre g ON t.GenreId = g.GenreId WHERE g.Name = 'Jazz' ORDER BY al.Title;,1,3.955,13,,
B33,B,join,What is the total duration in minutes of all tracks in the 'Classical' genre?,exec_match_rounded,True,True,False,,SELECT SUM(Milliseconds / 60000.0) AS total_duration_minutes FROM Track WHERE GenreId = (SELECT GenreId FROM Genre WHERE Name = 'Classical');,"SELECT ROUND(SUM(t.Milliseconds) / 60000.0, 2) AS TotalMinutes FROM Track t JOIN Genre g ON t.GenreId = g.GenreId WHERE g.Name = 'Classical';",0,1.967,1,,
B34,B,having,Which billing cities have generated more than $30 in total invoice revenue?,exec_match_rounded,True,True,False,,"SELECT BillingCity, SUM(Total) AS total_revenue
FROM Invoice
GROUP BY BillingCity
HAVING total_revenue > 30;","SELECT BillingCity, ROUND(SUM(Total), 2) AS Revenue FROM Invoice GROUP BY BillingCity HAVING Revenue > 30 ORDER BY Revenue DESC;",0,2.116,53,,
B35,B,join,How many invoices does each customer have? Show customer name and invoice count for the top 10.,row_count,True,True,False,,"SELECT C.CustomerId, C.FirstName, C.LastName, COUNT(I.InvoiceId) AS InvoiceCount
FROM Customer C
JOIN Invoice I ON C.CustomerId = I.CustomerId
GROUP BY C.CustomerId, C.FirstName, C.LastName
ORDER BY InvoiceCount DESC
LIMIT 10;","SELECT c.FirstName || ' ' || c.LastName AS Customer, COUNT(*) AS InvoiceCount FROM Customer c JOIN Invoice i ON c.CustomerId = i.CustomerId GROUP BY c.CustomerId ORDER BY InvoiceCount DESC LIMIT 10;",0,2.653,10,10,
C01,C,subquery,Find customers who have never made a purchase.,exec_match,True,True,False,,"SELECT CustomerId, FirstName, LastName FROM CUSTOMER WHERE CustomerId NOT IN ( SELECT DISTINCT CustomerId FROM INVOICE )","SELECT FirstName, LastName FROM Customer WHERE CustomerId NOT IN (SELECT DISTINCT CustomerId FROM Invoice);",0,1.859,0,,
C02,C,subquery,Which artists have more than 10 albums?,exec_match,True,True,False,,"SELECT T2.Name AS ArtistName, COUNT(T1.AlbumId) AS AlbumCount FROM ALBUM AS T1 INNER JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistId GROUP BY T2.ArtistId HAVING COUNT(T1.AlbumId) > 10;","SELECT ar.Name, COUNT(*) AS AlbumCount FROM Album al JOIN Artist ar ON al.ArtistId = ar.ArtistId GROUP BY ar.ArtistId HAVING AlbumCount > 10 ORDER BY AlbumCount DESC;",0,2.574,3,,
C03,C,subquery,What percentage of total revenue comes from customers in the USA?,exec_match_rounded,True,True,False,,"SELECT 
    ROUND(SUM(CASE WHEN BillingCountry = 'USA' THEN Total ELSE 0 END) / SUM(Total) * 100, 2) AS us_revenue_percentage
FROM 
    Invoice;","SELECT ROUND(100.0 * SUM(CASE WHEN c.Country = 'USA' THEN i.Total ELSE 0 END) / SUM(i.Total), 2) AS USAPct FROM Invoice i JOIN Customer c ON i.CustomerId = c.CustomerId;",0,2.478,1,,
C04,C,cte,"Using a CTE, find the average number of tracks per album.",exec_match_rounded,True,True,False,,"WITH AlbumTrackCount AS (
    SELECT AlbumId, COUNT(TrackId) AS track_count FROM Track GROUP BY AlbumId
)
SELECT AVG(track_count) AS avg_tracks_per_album FROM AlbumTrackCount;","WITH AlbumCounts AS (SELECT AlbumId, COUNT(*) AS TrackCount FROM Track GROUP BY AlbumId) SELECT ROUND(AVG(TrackCount), 2) AS AvgTracksPerAlbum FROM AlbumCounts;",0,2.197,1,,
C05,C,subquery,Find the month with the highest total sales revenue. Return month number and total.,exec_match_rounded,False,True,False,,"SELECT STRFTIME('%Y-%m', InvoiceDate) AS Month, SUM(Total) AS TotalRevenue FROM INVOICE GROUP BY Month ORDER BY TotalRevenue DESC LIMIT 1","SELECT strftime('%m', InvoiceDate) AS Month, ROUND(SUM(Total), 2) AS Revenue FROM Invoice GROUP BY Month ORDER BY Revenue DESC LIMIT 1;",0,2.008,1,,value_mismatch
C06,C,multi_hop,"For each artist, show the total revenue generated from their tracks. Show top 10 artists by revenue.",row_count,True,True,False,,"SELECT Artist.Name, SUM(InvoiceLine.UnitPrice * InvoiceLine.Quantity) AS TotalRevenue FROM Artist JOIN Album ON Artist.ArtistId = Album.ArtistId JOIN Track ON Album.AlbumId = Track.AlbumId JOIN InvoiceLine ON Track.TrackId = InvoiceLine.TrackId GROUP BY Artist.Name ORDER BY TotalRevenue DESC LIMIT 10","SELECT ar.Name, ROUND(SUM(il.UnitPrice * il.Quantity), 2) AS Revenue FROM InvoiceLine il JOIN Track t ON il.TrackId = t.TrackId JOIN Album al ON t.AlbumId = al.AlbumId JOIN Artist ar ON al.ArtistId = ar.ArtistId GROUP BY ar.ArtistId ORDER BY Revenue DESC LIMIT 10;",0,2.73,10,10,
C07,C,multi_hop,"Show the full chain: customer name, invoice ID, track name, and artist name for customer with CustomerId = 1.",exec_match,False,True,False,,"SELECT C.FirstName, C.LastName, I.InvoiceId, T.Name, A.Name 
FROM Customer C 
JOIN Invoice I ON C.CustomerId = I.CustomerId 
JOIN InvoiceLine IL ON I.InvoiceId = IL.InvoiceId 
JOIN Track T ON IL.TrackId = T.TrackId 
JOIN Album AL ON T.AlbumId = AL.AlbumId 
JOIN Artist A ON AL.ArtistId = A.ArtistId 
WHERE C.CustomerId = 1","SELECT c.FirstName || ' ' || c.LastName AS Customer, i.InvoiceId, t.Name AS Track, ar.Name AS Artist FROM Customer c JOIN Invoice i ON c.CustomerId = i.CustomerId JOIN InvoiceLine il ON i.InvoiceId = il.InvoiceId JOIN Track t ON il.TrackId = t.TrackId JOIN Album al ON t.AlbumId = al.AlbumId JOIN Artist ar ON al.ArtistId = ar.ArtistId WHERE c.CustomerId = 1;",0,3.401,38,,value_mismatch
C08,C,subquery,Which tracks have been purchased more than once?,exec_match,True,True,False,,"SELECT T1.Name, COUNT(*) AS purchase_count FROM Track AS T1 INNER JOIN InvoiceLine AS T2 ON T1.TrackId = T2.TrackId GROUP BY T1.TrackId HAVING COUNT(T2.InvoiceId) > 1;","SELECT t.Name, COUNT(*) AS TimesPurchased FROM InvoiceLine il JOIN Track t ON il.TrackId = t.TrackId GROUP BY il.TrackId HAVING TimesPurchased > 1 ORDER BY TimesPurchased DESC;",0,2.355,256,,
